"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Tyreek Hill (MIA)","11","15","215","19.5","47","5","2","0","0","0","0","1","33.5","33.5","100.0%"
"2","Brandon Aiyuk (SF)","8","8","129","16.1","23","2","2","0","0","0","0","1","24.9","24.9","98.2%"
"3","Jakobi Meyers (LV)","9","10","81","9.0","21","1","2","0","0","0","0","1","20.1","20.1","73.3%"
"4","Kendrick Bourne (NE)","6","11","64","10.7","19","0","2","0","0","0","0","1","18.4","18.4","4.2%"
"5","Stefon Diggs (HOU)","10","13","102","10.2","18","0","1","0","0","0","0","1","16.2","16.2","99.7%"
"6","Calvin Ridley (TEN)","8","11","101","12.6","29","2","1","0","0","0","0","1","16.1","16.1","95.0%"
"7","Michael Pittman Jr. (IND)","8","11","97","12.1","39","1","1","0","0","0","0","1","15.7","15.7","97.1%"
"8","Justin Jefferson (MIN)","9","12","150","16.7","42","4","0","0","0","0","0","1","15.0","15.0","100.0%"
"9","Romeo Doubs (GB)","4","5","26","6.5","13","0","2","0","0","0","0","1","14.6","14.6","44.3%"
"10","Rashid Shaheed (NO)","5","6","89","17.8","41","2","1","2","11","0","1","1","14.0","14.0","50.9%"
"11","Amon-Ra St. Brown (DET)","6","9","71","11.8","21","1","1","0","0","0","0","1","13.1","13.1","100.0%"
"12","Mike Evans (TB)","6","10","66","11.0","28","1","1","0","0","0","0","1","12.6","12.6","98.1%"
"13","Jordan Addison (MIN)","4","6","61","15.3","39","1","1","0","0","0","0","1","12.1","12.1","88.3%"
"14","Puka Nacua (LAR)","10","15","119","11.9","21","2","0","0","0","0","0","1","11.9","11.9","96.9%"
"15","Tutu Atwell (LAR)","6","8","119","19.8","44","2","0","0","0","0","0","1","11.9","11.9","9.3%"
"16","Zay Jones (ARI)","5","7","55","11.0","18","0","1","0","0","0","0","1","11.5","11.5","15.4%"
"17","Darnell Mooney (ATL)","4","7","53","13.3","23","2","1","0","0","0","0","1","11.3","11.3","37.7%"
"18","Chris Olave (NO)","8","10","112","14.0","45","1","0","0","0","0","0","1","11.2","11.2","98.8%"
"19","DeVonta Smith (PHI)","7","10","47","6.7","13","0","1","0","0","0","0","1","10.7","10.7","98.0%"
"20","DK Metcalf (SEA)","3","5","47","15.7","28","1","1","0","0","0","0","1","10.7","10.7","98.5%"
"21","River Cracraft (MIA)","3","5","40","13.3","24","1","1","0","0","0","0","1","10.0","10.0","0.1%"
"22","Garrett Wilson (NYJ)","5","5","34","6.8","14","0","1","0","0","0","0","1","9.4","9.4","97.8%"
"23","Courtland Sutton (DEN)","4","5","32","8.0","15","0","1","0","0","0","0","1","9.2","9.2","83.0%"
"24","Zay Flowers (BAL)","9","10","78","8.7","21","2","0","2","9","0","0","1","8.7","8.7","91.9%"
"25","Rashee Rice (KC)","3","5","29","9.7","25","1","1","1","-3","0","0","1","8.6","8.6","88.9%"
"26","KaVontae Turpin (DAL)","2","3","11","5.5","7","0","0","3","14","1","0","1","8.5","8.5","0.7%"
"27","Keenan Allen (CHI)","6","9","76","12.7","36","1","0","2","6","0","0","1","8.2","8.2","91.0%"
"28","Josh Reynolds (DEN)","4","7","80","20.0","33","2","0","0","0","0","0","1","8.0","8.0","7.3%"
"29","Nico Collins (HOU)","6","11","80","13.3","26","1","0","0","0","0","0","1","8.0","8.0","95.6%"
"30","A.J. Brown (PHI)","7","10","79","11.3","23","1","0","0","0","0","0","1","7.9","7.9","99.9%"
"31","Jaylen Waddle (MIA)","4","5","78","19.5","35","2","0","0","0","0","0","1","7.8","7.8","96.3%"
"32","CeeDee Lamb (DAL)","4","4","77","19.3","49","1","0","0","0","0","0","1","7.7","7.7","100.0%"
"33","Lil'Jordan Humphrey (DEN)","2","2","11","5.5","6","0","1","0","0","0","0","1","7.1","7.1","0.1%"
"34","Trey Palmer (TB)","2","3","8","4.0","7","0","1","0","0","0","0","1","6.8","6.8","1.5%"
"35","Davante Adams (LV)","6","9","66","11.0","18","0","0","0","0","0","0","1","6.6","6.6","99.9%"
"36","DeAndre Hopkins (TEN)","7","13","65","9.3","16","0","0","0","0","0","0","1","6.5","6.5","91.9%"
"37","Allen Robinson II (NYG)","5","8","64","12.8","31","1","0","0","0","0","0","1","6.4","6.4","0.6%"
"38","Deebo Samuel Sr. (SF)","5","7","55","11.0","22","1","0","2","8","0","0","1","6.3","6.3","98.7%"
"39","Elijah Moore (CLE)","3","7","43","14.3","33","1","0","2","19","0","0","1","6.2","6.2","23.1%"
"40","Michael Thomas (FA)","5","8","61","12.2","25","1","0","0","0","0","0","1","6.1","6.1","17.0%"
"41","Xavier Gipson (NYJ)","0","0","0","0","0","0","0","0","0","0","0","1","6.0","6.0","0.7%"
"42","Curtis Samuel (BUF)","5","5","54","10.8","32","1","0","1","6","0","0","1","6.0","6.0","51.0%"
"43","Nick Westbrook-Ikhine (TEN)","4","7","58","14.5","24","2","0","0","0","0","0","1","5.8","5.8","0.2%"
"44","Hollywood Brown (KC)","3","5","28","9.3","11","0","0","1","29","0","0","1","5.7","5.7","79.0%"
"45","Robert Woods (HOU)","6","10","57","9.5","19","0","0","0","0","0","0","1","5.7","5.7","2.7%"
"46","Chris Godwin (TB)","5","6","51","10.2","16","0","0","0","0","0","0","1","5.1","5.1","90.3%"
"47","Marquez Valdes-Scantling (BUF)","2","2","48","24.0","34","1","0","0","0","0","0","1","4.8","4.8","1.2%"
"48","Diontae Johnson (CAR)","3","6","48","16.0","26","1","0","0","0","0","0","1","4.8","4.8","83.2%"
"49","Jayden Reed (GB)","2","5","48","24.0","30","1","0","1","-2","0","0","1","4.6","4.6","77.3%"
"50","Allen Lazard (NYJ)","2","4","46","23.0","24","2","0","0","0","0","0","1","4.6","4.6","4.7%"
"51","Mike Williams (NYJ)","4","5","45","11.3","24","1","0","0","0","0","0","1","4.5","4.5","47.6%"
"52","Rondale Moore (ATL)","3","3","33","11.0","31","1","0","2","12","0","0","1","4.5","4.5","5.2%"
"53","Justin Watson (KC)","2","4","45","22.5","26","1","0","0","0","0","0","1","4.5","4.5","1.7%"
"54","Braxton Berrios (MIA)","3","5","42","14.0","16","0","0","0","0","0","0","1","4.2","4.2","1.2%"
"55","Ja'Marr Chase (CIN)","5","9","39","7.8","12","0","0","1","2","0","0","1","4.1","4.1","99.4%"
"56","Jahan Dotson (WAS)","5","7","40","8.0","14","0","0","0","0","0","0","1","4.0","4.0","31.0%"
"57","DeMario Douglas (NE)","4","7","40","10.0","23","1","0","0","0","0","0","1","4.0","4.0","23.0%"
"58","Calvin Austin III (PIT)","6","6","37","6.2","13","0","0","0","0","0","0","1","3.7","3.7","0.8%"
"59","Amari Cooper (CLE)","3","7","37","12.3","20","1","0","0","0","0","0","1","3.7","3.7","91.6%"
"60","Odell Beckham Jr. (MIA)","2","3","37","18.5","29","1","0","0","0","0","0","1","3.7","3.7","32.9%"
"61","George Pickens (PIT)","5","7","36","7.2","9","0","0","0","0","0","0","1","3.6","3.6","87.2%"
"62","Rashod Bateman (BAL)","3","3","35","11.7","18","0","0","0","0","0","0","1","3.5","3.5","9.5%"
"63","Tank Dell (HOU)","3","4","34","11.3","13","0","0","0","0","0","0","1","3.4","3.4","60.3%"
"64","JuJu Smith-Schuster (NE)","4","7","33","8.3","15","0","0","0","0","0","0","1","3.3","3.3","6.9%"
"65","Gabe Davis (JAC)","2","4","32","16.0","26","1","0","0","0","0","0","1","3.2","3.2","53.0%"
"66","Mack Hollins (BUF)","3","4","31","10.3","11","0","0","0","0","0","0","1","3.1","3.1","0.2%"
"67","Brandon Johnson (DEN)","2","3","31","15.5","21","1","0","0","0","0","0","1","3.1","3.1","2.0%"
"68","K.J. Osborn (NE)","3","6","31","10.3","19","0","0","0","0","0","0","1","3.1","3.1","15.3%"
"69","Terry McLaurin (WAS)","2","4","31","15.5","19","0","0","0","0","0","0","1","3.1","3.1","90.3%"
"70","Josh Downs (IND)","3","7","30","10.0","22","1","0","0","0","0","0","1","3.0","3.0","26.8%"
"71","Treylon Burks (TEN)","2","3","18","9.0","14","0","0","1","9","0","0","1","2.7","2.7","5.9%"
"72","DJ Moore (CHI)","2","2","25","12.5","14","0","0","0","0","0","0","1","2.5","2.5","97.6%"
"73","Van Jefferson (PIT)","4","5","24","6.0","10","0","0","0","0","0","0","1","2.4","2.4","1.3%"
"74","Terrace Marshall Jr. (CAR)","2","6","23","11.5","12","0","0","0","0","0","0","1","2.3","2.3","0.1%"
"75","Brandin Cooks (DAL)","2","4","22","11.0","16","0","0","0","0","0","0","1","2.2","2.2","43.6%"
"76","Laviska Shenault Jr. (SEA)","2","2","16","8.0","14","0","0","2","5","0","0","1","2.1","2.1","0.1%"
"77","Kalif Raymond (DET)","1","1","20","20.0","20","1","0","0","0","0","0","1","2.0","2.0","1.3%"
"78","Noah Brown (HOU)","3","4","20","6.7","7","0","0","1","-1","0","0","1","1.9","1.9","23.4%"
"79","Michael Wilson (ARI)","2","4","19","9.5","15","0","0","0","0","0","0","1","1.9","1.9","6.3%"
"80","Samori Toure (GB)","2","3","18","9.0","16","0","0","0","0","0","0","1","1.8","1.8","0.0%"
"81","Jonathan Mingo (CAR)","2","5","17","8.5","9","0","0","0","0","0","0","1","1.7","1.7","7.0%"
"82","Quez Watkins (PIT)","2","2","17","8.5","9","0","0","0","0","0","0","1","1.7","1.7","0.1%"
"83","Erik Ezukanma (MIA)","0","0","0","0","0","0","0","2","17","0","0","1","1.7","1.7","0.0%"
"84","Lawrence Cager (NYG)","2","2","17","8.5","9","0","0","0","0","0","0","1","1.7","1.7","0.0%"
"85","Darius Slayton (NYG)","3","5","15","5.0","8","0","0","0","0","0","0","1","1.5","1.5","2.6%"
"86","Tyler Scott (CHI)","2","2","14","7.0","9","0","0","0","0","0","0","1","1.4","1.4","0.2%"
"87","Deonte Harty (BAL)","3","4","9","3.0","5","0","0","1","4","0","0","1","1.3","1.3","0.1%"
"88","Jaxon Smith-Njigba (SEA)","3","5","13","4.3","10","0","0","0","0","0","0","1","1.3","1.3","76.0%"
"89","Adam Thielen (CAR)","2","2","12","6.0","9","0","0","0","0","0","0","1","1.2","1.2","71.9%"
"90","Donovan Peoples-Jones (DET)","1","2","12","12.0","12","0","0","0","0","0","0","1","1.2","1.2","1.7%"
"91","Tyler Boyd (TEN)","2","3","10","5.0","6","0","0","0","0","0","0","1","1.0","1.0","28.1%"
"92","Deven Thompkins (CAR)","2","3","10","5.0","8","0","0","0","0","0","0","1","1.0","1.0","0.1%"
"93","Tyler Lockett (SEA)","2","4","10","5.0","5","0","0","0","0","0","0","1","1.0","1.0","88.4%"
"94","Michael Gallup (FA)","1","2","10","10.0","10","0","0","0","0","0","0","1","1.0","1.0","6.3%"
"95","Quentin Johnston (LAC)","2","3","9","4.5","11","0","0","0","0","0","0","1","0.9","0.9","17.0%"
"96","Christian Kirk (JAC)","1","3","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","70.8%"
"97","Marvin Mims Jr. (DEN)","2","2","9","4.5","5","0","0","0","0","0","0","1","0.9","0.9","7.2%"
"98","Xavier Hutchinson (HOU)","1","1","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","0.1%"
"99","Richie James Jr. (FA)","1","2","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","0.0%"
"100","Justyn Ross (KC)","1","1","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","0.1%"
"101","DeAndre Carter (CHI)","1","1","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","0.0%"
"102","Alec Pierce (IND)","1","3","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","2.3%"
"103","Derius Davis (LAC)","1","1","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","0.3%"
"104","Isaiah Hodgins (NYG)","1","3","24","24.0","24","1","0","0","0","0","1","1","0.4","0.4","0.6%"
"105","Joshua Palmer (LAC)","1","1","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","24.5%"
"106","Skyy Moore (KC)","0","3","0","0","0","0","0","1","4","0","0","1","0.4","0.4","6.4%"
"107","Parris Campbell (PHI)","1","4","2","2.0","2","0","0","0","0","0","0","1","0.2","0.2","0.7%"
"108","Chris Blair (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"109","Dee Eskridge (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"110","Jaelon Darden (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"111","Austin Watkins Jr. (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"112","Dax Milne (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"113","Cornell Powell (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"114","Nsimba Webster (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"115","D.J. Montgomery (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"116","Steven Sims Jr. (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"117","Jalen Guyton (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"118","Alex Bachman (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"119","Malik Taylor (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"120","Olamide Zaccheaus (WAS)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"121","Tyron Billy-Johnson (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"122","Quintez Cephus (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"123","James Proche II (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"124","Denzel Mims (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"125","Devin Duvernay (JAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"126","KJ Hamler (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"127","Jalen Reagor (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"128","Tee Higgins (CIN)","0","8","0","0","0","0","0","0","0","0","0","1","0.0","0.0","94.1%"
"129","Jerry Jeudy (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","63.3%"
"130","Tom Kennedy (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"131","Gunner Olszewski (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"132","Marcus Simms (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"133","Davion Davis (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"134","Andy Isabella (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"135","Cody Thompson (TB)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"136","Collin Johnson (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"137","Hunter Renfrow (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"138","Keelan Doss (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"139","Jeff Smith (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"140","Juwann Winfree (IND)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"141","Quinton Bell (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"142","Scotty Miller (PIT)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"143","Trenton Irwin (CIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"144","David Sills (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"145","Greg Dortch (ARI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","4.3%"
"146","Mecole Hardman Jr. (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"147","Ashton Dulin (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"148","Stanley Morgan Jr. (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"149","Chase Claypool (BUF)","0","2","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"150","Tyler Johnson (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"151","Miles Boykin (NYG)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"152","Anthony Schwartz (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"153","Dez Fitzpatrick (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"154","Andre Baccellia (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"155","Dan Chisena (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"156","Dyami Brown (WAS)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"157","Ihmir Smith-Marsette (CAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"158","Seth Williams (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"159","Kadarius Toney (KC)","1","5","1","1.0","1","0","0","1","-1","0","0","1","0.0","0.0","5.9%"
"160","Jacob Copeland (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"161","Tylan Wallace (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"162","Cody White (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"163","Freddie Swain (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"164","Mason Kinsey (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"165","Austin Mack (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"166","Tyrie Cleveland (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"167","Easop Winston Jr. (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"168","Marquez Callaway (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"169","Trishton Jackson (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"170","Jauan Jennings (SF)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"171","Scotty Washington (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"172","Jaylon Moore (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"173","Kristian Wilkerson (LV)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"174","Ben Skowronek (HOU)","0","2","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"175","Nikko Remigio (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"176","Zavier Scott (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"177","Jason Brownlee (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"178","Ty Scott (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"179","Daewood Davis (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"180","Shedrick Jackson (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"181","Brycen Tremayne (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"182","Daniel Arias (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"183","Duece Watts (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"184","Malik Heath (GB)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"185","Griffin Hebert (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"186","Tyrell Shavers (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
