leagueFK,seasonFK,weekStart,weekEnd,week,playerFK,PlayerPositionFK,playerTeamFK,playerStatusFK,GamesPlayed,ForcedFumbles,FumblesRecovered,FumblesTouchdowns,Completions,PassingAttempts,CompletionPercentage,PassingYards,YardsPerPassAttempt,PassingYardsPerGame,LongestPass,PassingTouchdowns,Interceptions,TotalSacks,SackYardsLost,TotalQBR,PasserRating,AdjustedQBR,RushingAttempts,RushingYards,YardsPerRushAttempt,LongRushing,Yards20PlusRushingPlays,RushingTouchdowns,RushingYardsPerGame,RushingFumbles,RushingFumblesLost,Rushing1stDowns,Receptions,ReceivingTargets,ReceivingYards,YardsPerReception,ReceivingTouchdowns,LongReception,Yards20PlusReceivingPlays,ReceivingYardsPerGame,ReceivingFumbles,ReceivingFumblesLost,ReceivingYardsAfterCatch,ReceivingFirstDowns,SoloTackles,AssistTackles,TotalTackles,Sacks,SackYards,TacklesForLoss,PassesDefended,LongInterception,InterceptionsDefense,InterceptionYards,InterceptionTouchdowns,RushingTouchdowns_duplicate,ReceivingTouchdowns_duplicate,ReturnTouchdowns,TotalTouchdowns,FieldGoals,KickExtraPoints,TotalTwoPointConversions,TotalPoints,TotalPointsPerGame,KickReturns,KickReturnYards,YardsPerKickReturn,LongKickReturn,KickReturnTouchdowns,PuntReturns,PuntReturnYards,YardsPerPuntReturn,LongPuntReturn,PuntReturnTouchdowns,PuntReturnFairCatches,FieldGoalMade,FieldGoalAttempts,FieldGoalPercentage,LongFieldGoalMade,FieldGoalsMade1_19,FieldGoalsMade20_29,FieldGoalsMade30_39,FieldGoalsMade40_49,FieldGoalsMade50Plus,FieldGoalAttempts1_19,FieldGoalAttempts20_29,FieldGoalAttempts30_39,FieldGoalAttempts40_49,FieldGoalAttempts50Plus,ExtraPointsMade,ExtraPointAttempts,ExtraPointPercentage,Punts,PuntYards,LongPunt,GrossAveragePuntYards,NetAveragePuntYards,PuntsBlocked,PuntsInside20,Touchbacks,FairCatches,PuntsReturned,PuntsReturnedYards,AveragePuntReturnYards,row_hash
28,2,2023-11-29,2023-12-06,Week 13,3116365,7,33,13,10,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,0,6,0,0,0,36,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5095c27bbedd0c4863c413dcc31ef897
28,2,2023-11-29,2023-12-06,Week 13,3915416,1,3,1,12,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,0,6,0,0,0,36,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f7cae4ac3d8d9b95c2d6ad1bc89c1cdb
28,2,2023-11-29,2023-12-06,Week 13,4047365,9,13,1,12,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,0,6,0,0,0,36,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,af8fa31607ff762888f9e4c5fb2add16
28,2,2023-11-29,2023-12-06,Week 13,4047650,1,26,1,11,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,0,6,0,0,0,36,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dd594551c71e0ee636112cd18cf2bcbc
28,2,2023-11-29,2023-12-06,Week 13,4361529,9,12,1,11,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,0,6,0,0,0,36,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1533609daa5d2f2b1456c2edeacf40d1
28,2,2023-11-29,2023-12-06,Week 13,4362628,1,4,1,11,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,0,6,0,0,0,36,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d94bede578ccffda9d2d049278ddff01
28,2,2023-11-29,2023-12-06,Week 13,4430807,9,1,1,11,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,6,0,0,0,36,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ac0b7d504bfaa0b50f9b461af02dbbbe
28,2,2023-11-29,2023-12-06,Week 13,4430027,7,8,1,11,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0,5,0,0,2,34,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dc501481a51f80fb8d87155d5949a06d
28,2,2023-11-29,2023-12-06,Week 13,16731,1,6,1,11,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0,5,0,0,1,32,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4ffafb56fe1357946ca65a54d3f8a27f
28,2,2023-11-29,2023-12-06,Week 13,3916148,9,6,1,12,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,5,0,0,1,32,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840df15893e4569b26f91b2fda90f3dc
